City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,singleton,-32.5667,151.1833,281.47,69,4,4.47,AU,1683567188
240,nyachera,-0.9,30.4167,291.4,89,39,1.55,UG,1683567188
241,tir pul,34.5943,61.269,294.07,24,16,1.81,AF,1683567189
242,kavaratti,10.5669,72.642,302.58,59,41,4.47,IN,1683566800
243,touros,-5.1989,-35.4608,302.94,63,62,6.55,BR,1683566799
244,horta,38.5333,-28.6333,289.95,91,40,3.13,PT,1683567189
245,nar'yan-mar,67.6713,53.087,273.05,98,100,6.1,RU,1683566761
246,jiazi,22.8779,116.067,294.73,81,100,7.94,CN,1683567190
247,greenville,35.6127,-77.3663,300.17,62,0,1.54,US,1683566930
248,christchurch,-43.5333,172.6333,291.26,67,100,7.2,NZ,1683567191
249,haiku-pauwela,20.9219,-156.3051,297.06,70,20,7.72,US,1683567191
250,chonchi,-42.6128,-73.8092,283.71,80,100,0.5,CL,1683567191
251,vilyuysk,63.7553,121.6247,259.07,97,17,1.06,RU,1683566768
252,zemetchino,53.4973,42.6163,278.84,60,79,2.53,RU,1683567192
253,tabuk,17.4189,121.4443,297.12,91,92,0.96,PH,1683566929
254,palikir - national government center,6.9248,158.1611,298.56,94,100,1.03,FM,1683567192
255,boa vista,2.8197,-60.6733,302.14,70,75,6.17,BR,1683567193
256,daru,-9.0763,143.2092,298.64,93,95,4.16,PG,1683567193
257,lerwick,60.1545,-1.1494,282.15,98,100,8.05,GB,1683567193
258,brookings,44.3114,-96.7984,294.51,57,0,3.6,US,1683567194
259,bagua grande,-5.7561,-78.4411,303.98,55,63,1.69,PE,1683567194
260,davydovka,51.1578,39.4292,279.77,64,100,3.1,RU,1683567194
261,puerto baquerizo moreno,-0.9,-89.6,301.7,84,40,4.63,EC,1683566723
262,saudarkrokur,65.7461,-19.6394,281.57,84,100,2.08,IS,1683567195
263,dodoma,-6.1722,35.7395,297.1,57,20,6.17,TZ,1683567174
264,bandundu,-3.3167,17.3667,298.03,85,98,1.83,CD,1683567196
265,canico,32.6333,-16.85,298.55,62,20,9.77,PT,1683567196
266,qamdo,31.1667,97.2333,276.77,41,23,2.54,CN,1683566693
267,sol'-iletsk,51.1631,54.9918,281.75,41,100,6.58,RU,1683566850
268,vorgashor,67.5833,63.95,263.02,97,91,2.19,RU,1683566870
269,quellon,-43.1167,-73.6167,283.29,81,100,0.0,CL,1683566811
270,bunyola,39.6953,2.6987,294.2,66,20,6.17,ES,1683567197
271,cabo san lucas,22.8909,-109.9124,305.76,57,0,3.6,MX,1683566674
272,vilyuchinsk,52.9306,158.4028,276.3,99,97,3.93,RU,1683566648
273,kodinsk,58.6881,99.1844,282.0,79,48,2.38,RU,1683567199
274,katsuura,35.1333,140.3,286.28,70,100,8.69,JP,1683566774
275,sarmiento,-45.5882,-69.07,288.83,28,80,11.94,AR,1683567199
276,puerto deseado,-47.7503,-65.8938,286.28,61,30,10.49,AR,1683567097
277,heihe,50.2441,127.4902,278.47,38,100,8.64,CN,1683567200
278,fale old settlement,-9.3852,-171.2468,301.95,77,8,6.22,TK,1683566764
279,vung tau,10.346,107.0843,301.34,77,100,2.36,VN,1683567201
280,thaba nchu,-29.2093,26.839,286.73,62,96,1.74,ZA,1683567201
281,st. john's,47.5649,-52.7093,284.57,66,75,10.8,CA,1683567007
282,al jawf,29.5,38.75,297.92,24,0,5.62,SA,1683566936
283,mugango,-1.6833,33.7,293.25,78,34,1.0,TZ,1683567202
284,jayapura,-2.5333,140.7,298.81,93,86,2.39,ID,1683567202
285,weno,7.4515,151.8468,299.12,94,75,1.54,FM,1683566741
286,ulsteinvik,62.3432,5.8487,289.65,75,100,1.71,NO,1683566945
287,coquimbo,-29.9533,-71.3436,288.0,82,40,4.63,CL,1683566644
288,luderitz,-26.6481,15.1594,287.19,85,0,6.98,NA,1683567204
289,vila velha,-20.3297,-40.2925,297.12,94,100,1.54,BR,1683567023
290,maumere,-8.6199,122.2111,300.24,80,99,1.81,ID,1683567204
291,qalat,32.1058,66.9083,291.77,22,0,3.38,AF,1683567204
292,namdrik,5.5994,168.1028,301.42,79,98,5.38,MH,1683566767
293,south sioux city,42.4739,-96.4136,295.81,56,0,1.34,US,1683567205
294,shizuishan,39.2333,106.7694,287.55,54,100,4.36,CN,1683567205
295,sotkamo,64.1333,28.4167,286.16,98,85,0.95,FI,1683567206
